logNN.thrstint1_x,logNN.thrstint1_y,logNN.thrstint2_x,logNN.thrstint2_y,logNN.thrstint3_x,logNN.thrstint3_y,logNN.thrstint4_x,logNN.thrstint4_y
75858.,4212.,75858.,6434.,75858.,2678.,75858.,2023.
75958.,12774.,75958.,2419.,75958.,11441.,75958.,7683.
76058.,4548.,76058.,16471.,76058.,7216.,76058.,15651.
76158.,7477.,76158.,15025.,76158.,14993.,76158.,22582.
76258.,26363.,76258.,21251.,76258.,25307.,76258.,22140.
76358.,21087.,76358.,17289.,76358.,15137.,76358.,17887.
76458.,11536.,76458.,14480.,76458.,11860.,76458.,12319.
76558.,7264.,76558.,6207.,76558.,5421.,76558.,5911.
76658.,4825.,76658.,6132.,76658.,2011.,76658.,7463.
76758.,2869.,76758.,0.,76758.,1499.,76758.,0.
76858.,0.,76858.,1666.,76858.,1629.,76858.,837.
76958.,4240.,76958.,2509.,76958.,0.,76958.,3770.
77058.,3007.,77058.,3189.,77058.,5058.,77058.,5641.
77158.,1561.,77158.,4204.,77158.,5622.,77158.,5832.
77258.,1687.,77258.,661.,77258.,7335.,77258.,4813.
77358.,1233.,77358.,0.,77358.,0.,77358.,0.
77458.,2147.,77458.,4371.,77458.,4302.,77458.,975.
77558.,5282.,77558.,7219.,77558.,7321.,77558.,7640.
77658.,9911.,77658.,8737.,77658.,3141.,77658.,4336.
77758.,10132.,77758.,6585.,77758.,5058.,77758.,7122.
77858.,6491.,77858.,4344.,77858.,3076.,77858.,6799.
77958.,6905.,77958.,3902.,77958.,4400.,77958.,7831.
78058.,2007.,78058.,1720.,78058.,1146.,78058.,2053.
78158.,14847.,78158.,0.,78158.,11778.,78158.,17711.
78258.,11724.,78258.,14923.,78258.,12660.,78258.,9973.
78358.,592.,78358.,16268.,78358.,4062.,78358.,13630.
78458.,16509.,78458.,19064.,78458.,18112.,78458.,14280.
78559.,23490.,78559.,19155.,78559.,22133.,78559.,16551.
78659.,20128.,78659.,18134.,78659.,18627.,78659.,16777.
78758.,8676.,78758.,11512.,78758.,11781.,78758.,12597.
78858.,6629.,78858.,7865.,78858.,6743.,78858.,2478.
78958.,4430.,78958.,4423.,78958.,1319.,78958.,6312.
